Coin,Execution Price,Size Tokens,Size USD,Side,Start Position,Closed PnL,Crossed,Fee,Timestamp,Date,Direction_num,Profit_flag,sentiment_num
BTC,89032.0,0.01168,1039.89,0,-0.12413,0.0,True,0.363962,2025-04-22 18:28:00,2025-04-22,-1,0,0
BTC,89030.0,0.00015,13.35,0,-0.13581,0.0,True,0.004674,2025-04-22 18:28:00,2025-04-22,-1,0,0
BTC,89029.0,0.00015,13.35,0,-0.13596,0.0,True,0.004674,2025-04-22 18:28:00,2025-04-22,-1,0,0
BTC,89028.0,0.00015,13.35,0,-0.13611,0.0,True,0.004673,2025-04-22 18:28:00,2025-04-22,-1,0,0
BTC,89027.0,0.00015,13.35,0,-0.13626,0.0,True,0.004673,2025-04-22 18:28:00,2025-04-22,-1,0,0
BTC,89026.0,0.00015,13.35,0,-0.13641,0.0,True,0.004673,2025-04-22 18:28:00,2025-04-22,-1,0,0
BTC,89025.0,5e-05,4.45,0,-0.13656,0.0,True,0.001557,2025-04-22 18:28:00,2025-04-22,-1,0,0
BTC,89795.0,0.0866,7776.25,0,-0.13661,0.0,True,2.721686,2025-04-22 19:05:00,2025-04-22,-1,0,0
BTC,89799.0,0.05572,5003.6,0,-0.22321,0.0,True,1.75126,2025-04-22 19:07:00,2025-04-22,-1,0,0
BTC,90151.0,0.02464,2221.32,0,-0.27893,0.0,True,0.777462,2025-04-22 19:13:00,2025-04-22,-1,0,0
BTC,90133.0,0.03697,3332.22,0,-0.30357,0.0,True,1.166275,2025-04-22 19:14:00,2025-04-22,-1,0,0
BTC,90133.0,0.05547,4999.68,0,-0.34054,0.0,True,1.749887,2025-04-22 19:14:00,2025-04-22,-1,0,0
BTC,90133.0,0.05547,4999.68,0,-0.39601,0.0,True,1.749887,2025-04-22 19:14:00,2025-04-22,-1,0,0
BTC,90133.0,0.05547,4999.68,0,-0.45148,0.0,True,1.749887,2025-04-22 19:14:00,2025-04-22,-1,0,0
BTC,90133.0,0.05547,4999.68,0,-0.50695,0.0,True,1.749887,2025-04-22 19:14:00,2025-04-22,-1,0,0
BTC,90151.0,0.05546,4999.77,0,-0.56242,0.0,True,1.749921,2025-04-22 19:15:00,2025-04-22,-1,0,0
BTC,90263.0,0.05538,4998.76,0,-0.61788,0.0,True,1.749567,2025-04-22 19:16:00,2025-04-22,-1,0,0
BTC,90275.0,0.01955,1764.88,0,-0.67326,0.0,True,0.617706,2025-04-22 19:16:00,2025-04-22,-1,0,0
BTC,90275.0,0.03584,3235.46,0,-0.69281,0.0,True,1.132409,2025-04-22 19:16:00,2025-04-22,-1,0,0
BTC,90398.0,0.01112,1005.23,0,-0.72865,0.0,True,0.351829,2025-04-22 19:17:00,2025-04-22,-1,0,0
BTC,90398.0,0.04416,3991.98,0,-0.73977,0.0,True,1.397191,2025-04-22 19:17:00,2025-04-22,-1,0,0
BTC,90348.0,0.05531,4997.15,0,-0.78393,0.0,True,1.749001,2025-04-22 19:17:00,2025-04-22,-1,0,0
BTC,90346.0,0.05533,4998.84,0,-0.83924,0.0,True,1.749595,2025-04-22 19:17:00,2025-04-22,-1,0,0
BTC,90264.0,0.00105,94.78,0,-0.89457,0.0,True,0.033172,2025-04-22 19:17:00,2025-04-22,-1,0,0
BTC,90263.0,0.00022,19.86,0,-0.89562,0.0,True,0.00695,2025-04-22 19:17:00,2025-04-22,-1,0,0
BTC,90263.0,0.05407,4880.52,0,-0.89584,0.0,True,1.708182,2025-04-22 19:17:00,2025-04-22,-1,0,0
BTC,89900.0,0.00617,554.68,1,-0.94991,0.165356,False,0.055468,2025-04-22 19:26:00,2025-04-22,0,1,0
BTC,89875.0,0.00617,554.53,1,-0.94374,0.319606,False,0.055452,2025-04-22 19:26:00,2025-04-22,0,1,0
BTC,90394.0,0.05532,5000.6,0,-0.93757,0.0,True,1.750208,2025-04-22 19:46:00,2025-04-22,-1,0,0
BTC,90468.0,0.05527,5000.17,0,-0.99289,0.0,True,1.750058,2025-04-22 19:46:00,2025-04-22,-1,0,0
BTC,90471.0,0.00565,511.16,0,-1.04816,0.0,True,0.178906,2025-04-22 19:46:00,2025-04-22,-1,0,0
BTC,90471.0,0.00553,500.3,0,-1.05381,0.0,True,0.175106,2025-04-22 19:46:00,2025-04-22,-1,0,0
BTC,90471.0,0.04407,3987.06,0,-1.05934,0.0,True,1.395469,2025-04-22 19:46:00,2025-04-22,-1,0,0
BTC,90075.0,0.00616,554.86,1,-1.10341,-0.433664,False,0.055486,2025-04-22 20:01:00,2025-04-22,0,0,0
BTC,90690.0,0.01225,1110.95,0,-1.09725,0.0,True,0.388833,2025-04-22 20:09:00,2025-04-22,-1,0,0
BTC,90739.0,0.05568,5052.35,0,-1.1095,0.0,True,1.768321,2025-04-22 20:18:00,2025-04-22,-1,0,0
BTC,90739.0,0.00015,13.61,0,-1.16518,0.0,True,0.004763,2025-04-22 20:18:00,2025-04-22,-1,0,0
BTC,90739.0,0.00537,487.27,0,-1.16533,0.0,True,0.170543,2025-04-22 20:18:00,2025-04-22,-1,0,0
BTC,90739.0,0.06121,5554.13,0,-1.1707,0.0,True,1.943946,2025-04-22 20:18:00,2025-04-22,-1,0,0
BTC,90795.0,0.06121,5557.56,0,-1.23191,0.0,True,1.945146,2025-04-22 20:18:00,2025-04-22,-1,0,0
BTC,90967.0,0.02,1819.34,0,-1.29312,0.0,True,0.636769,2025-04-22 20:33:00,2025-04-22,-1,0,0
BTC,90967.0,0.01663,1512.78,0,-1.31312,0.0,True,0.529473,2025-04-22 20:33:00,2025-04-22,-1,0,0
BTC,91179.0,0.05486,5002.08,0,-1.32975,0.0,True,1.750727,2025-04-22 20:34:00,2025-04-22,-1,0,0
BTC,91207.0,0.05481,4999.06,0,-1.38461,0.0,True,1.749669,2025-04-22 23:21:00,2025-04-22,-1,0,0
BTC,91207.0,0.05481,4999.06,0,-1.43942,0.0,True,1.749669,2025-04-22 23:21:00,2025-04-22,-1,0,0
BTC,91207.0,0.05481,4999.06,0,-1.49423,0.0,True,1.749669,2025-04-22 23:21:00,2025-04-22,-1,0,0
BTC,91201.0,0.05481,4998.73,0,-1.54904,0.0,True,1.749554,2025-04-22 23:21:00,2025-04-22,-1,0,0
BTC,91201.0,0.03654,3332.48,0,-1.60385,0.0,True,1.166369,2025-04-22 23:21:00,2025-04-22,-1,0,0
BTC,91391.0,0.0547,4999.09,0,-1.64039,0.0,True,1.74968,2025-04-22 23:30:00,2025-04-22,-1,0,0
BTC,91595.0,0.05463,5003.83,0,-1.69509,0.0,True,1.751342,2025-04-22 23:31:00,2025-04-22,-1,0,0
BTC,91529.0,0.05461,4998.4,0,-1.74972,0.0,True,1.749439,2025-04-22 23:31:00,2025-04-22,-1,0,0
BTC,91501.0,0.05463,4998.7,0,-1.80433,0.0,True,1.749544,2025-04-22 23:31:00,2025-04-22,-1,0,0
BTC,91555.0,0.0546,4998.9,0,-1.85896,0.0,True,1.749616,2025-04-23 00:40:00,2025-04-23,-1,0,1
BTC,91000.0,0.00609,554.19,1,-1.91356,-2.988972,False,0.055419,2025-04-23 01:10:00,2025-04-23,0,0,1
BTC,90975.0,0.0061,554.95,1,-1.90747,-2.84138,False,0.055494,2025-04-23 01:10:00,2025-04-23,0,0,1
BTC,90950.0,0.0061,554.8,1,-1.90137,-2.68888,False,0.055479,2025-04-23 01:10:00,2025-04-23,0,0,1
BTC,90925.0,0.0061,554.64,1,-1.89527,-2.53638,False,0.055464,2025-04-23 01:10:00,2025-04-23,0,0,1
BTC,90900.0,0.0061,554.49,1,-1.88917,-2.38388,False,0.055449,2025-04-23 01:10:00,2025-04-23,0,0,1
BTC,91250.0,0.00608,554.8,1,-1.88307,-4.504064,False,0.05548,2025-04-23 01:42:00,2025-04-23,0,0,1
BTC,91225.0,0.00608,554.65,1,-1.87699,-4.352064,False,0.055464,2025-04-23 01:42:00,2025-04-23,0,0,1
BTC,91200.0,0.00608,554.5,1,-1.87091,-4.200064,False,0.055449,2025-04-23 01:49:00,2025-04-23,0,0,1
BTC,91175.0,0.00608,554.34,1,-1.86483,-4.048064,False,0.055434,2025-04-23 01:56:00,2025-04-23,0,0,1
BTC,91150.0,0.00608,554.19,1,-1.85875,-3.896064,False,0.055419,2025-04-23 01:56:00,2025-04-23,0,0,1
BTC,91125.0,0.00609,554.95,1,-1.85267,-3.750222,False,0.055495,2025-04-23 01:57:00,2025-04-23,0,0,1
BTC,91150.0,0.00608,554.19,1,-1.84658,-3.896064,False,0.055419,2025-04-23 02:03:00,2025-04-23,0,0,1
BTC,91125.0,0.00109,99.33,1,-1.8405,-0.671222,False,0.009932,2025-04-23 02:03:00,2025-04-23,0,0,1
BTC,91125.0,0.005,455.62,1,-1.83941,-3.079,False,0.045562,2025-04-23 02:03:00,2025-04-23,0,0,1
BTC,91150.0,0.00608,554.19,1,-1.83441,-3.896064,False,0.055419,2025-04-23 02:09:00,2025-04-23,0,0,1
BTC,91125.0,0.00609,554.95,1,-1.82833,-3.750222,False,0.055495,2025-04-23 02:13:00,2025-04-23,0,0,1
BTC,91100.0,0.00071,64.68,1,-1.82224,-0.419468,False,0.006468,2025-04-23 02:13:00,2025-04-23,0,0,1
BTC,91100.0,0.00013,11.84,1,-1.82153,-0.076804,False,0.001184,2025-04-23 02:13:00,2025-04-23,0,0,1
BTC,91100.0,0.00525,478.28,1,-1.8214,-3.1017,False,0.047827,2025-04-23 02:13:00,2025-04-23,0,0,1
BTC,91100.0,0.00609,554.8,1,-1.81615,-3.597972,False,0.055479,2025-04-23 02:23:00,2025-04-23,0,0,1
BTC,91075.0,0.00609,554.65,1,-1.81006,-3.445722,False,0.055464,2025-04-23 02:24:00,2025-04-23,0,0,1
BTC,91050.0,0.00609,554.49,1,-1.80397,-3.293472,False,0.055449,2025-04-23 02:26:00,2025-04-23,0,0,1
BTC,91025.0,0.00609,554.34,1,-1.79788,-3.141222,False,0.055434,2025-04-23 02:27:00,2025-04-23,0,0,1
BTC,91000.0,0.00212,192.92,1,-1.79179,-1.040496,False,0.019292,2025-04-23 02:30:00,2025-04-23,0,0,1
